,Company,Project,Campaign,Drip Name,Drip ID, ATT, Sprint,T-Mobile,Verizon,Tested,Edited
807,Core Digital Media,Remonetize - ATT,Default Campaign,2ndDay415PM,103833,(8) 6268421139 (0%),, , 
806,Core Digital Media,Remonetize - ATT,Default Campaign,2ndDay130PM,103831,(8) 8103310450 (0%),, , 
434,EverQuote,Auto - Drive to Site,After Midnight - Off Hours - Live Message,5thDay100PM,111571,(8) 4698648594 (N/A%),, , 
437,EverQuote,Auto - Drive to Site,After Midnight - Off Hours - Live Message (Duplicates),5thDay100PM,113444,(8) 5202166719 (N/A%),, , 
436,EverQuote,Auto - Drive to Site,After Midnight - Off Hours - Live Message (Duplicates),4thDay330PM,113443,(8) 9125041613 (N/A%),, , 
435,EverQuote,Auto - Drive to Site,After Midnight - Off Hours - Live Message (Duplicates),2ndDay100PM,113435,(8) 7578320517 (N/A%),, , 
438,EverQuote,Auto - Drive to Site,Before Midnight - Off Hours - Live Message (Duplicates),3rdDay100PM,114152,(8) 5024964298 (N/A%),, , 
439,EverQuote,Auto - Drive to Site,Before Midnight - Off Hours - Live Message (Duplicates),6thDay100PM,114158,(8) 8045751161 (N/A%),, , 
440,EverQuote,Auto - Drive to Site,Simple Saving,5thDay100PM,127117,(8) 3308005338 (N/A%),, , 
441,EverQuote,Auto - Drive to Site,Simple Saving (Duplicates),1stDay600PM,128906,(8) 9047121353 (N/A%),, , 
442,EverQuote,Auto - Drive to Site,Simple Saving (Duplicates),5thDay100PM,128919,(8) 5594158965 (N/A%),, , 
451,EverQuote,Auto - Drive to Site - ATT Only,After Midnight - Off hours - Live Message,5thDay100PM,133762,(11) 4697331535 (0%),(11) 5014037348 (N/A%),(11) 7738250764 (N/A%),(11) 3526354321 (N/A%)
452,EverQuote,Auto - Drive to Site - ATT Only,Simple Saving,5thDay100PM,133849,(11) 9124388512 (1.980%),(11) 3147104219 (N/A%),(11) 8178599951 (N/A%),(11) 8136878798 (N/A%)
