552,AllWebLeads,Medicare Supplement Trial,Medicare Supplement,2ndDay1015AM,52425,(8) 9252639433 (N/A%),,_
553,AllWebLeads,Medicare Supplement Trial,Medicare Supplement,2ndDay1245PM,52426,(8) 2762431615 (N/A%),,_
811,Apollo Interactive,Health Insurance - MAIN,Household-Single,8thDay300PM,71492,(8) 6015886418 (0.538%),,_
763,Apollo Interactive,Life Insurance - MAIN,Let Us Take The Burden,1stDay1130AM,113194,(8) 8035752299 (N/A%),,_
764,Apollo Interactive,Life Insurance - MAIN,Let Us Take The Burden,1stDay200PM,113196,(8) 3134036307 (N/A%),,_
765,Apollo Interactive,Life Insurance - MAIN,Let Us Take The Burden,2ndDay100PM,113199,(8) 8035662964 (N/A%),,_
766,Apollo Interactive,Life Insurance - MAIN,Let Us Take The Burden,2ndDay430PM,113201,(8) 7866334770 (N/A%),,_
767,Apollo Interactive,Life Insurance - MAIN,Let Us Take The Burden,6thDay1230PM,113209,(8) 2674919484 (N/A%),,_
690,Apollo Interactive,Medicare - MAIN,Get the Most,2ndDay100PM,79185,(8) 7312133358 (N/A%),,_
691,Apollo Interactive,Medicare - MAIN,Get the Most,2ndDay430PM,79187,(8) 2817478548 (N/A%),,_
692,Apollo Interactive,Medicare - MAIN,Get the Most,4thDay1230PM,79192,(8) 6092913576 (N/A%),,_
693,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,1stDay1130AM,103153,(8) 9362496846 (N/A%),,_
694,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,1stDay200PM,103155,(8) 3612870823 (N/A%),,_
695,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,2ndDay100PM,103158,(8) 7086490434 (N/A%),,_
696,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,2ndDay430PM,103160,(8) 4842783012 (N/A%),,_
697,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,4thDay1230PM,103165,(8) 8185322981 (N/A%),,_
698,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,5thDay1230PM,103167,(8) 4062982870 (N/A%),,_
699,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,6thDay1230PM,103168,(8) 4704032765 (N/A%),,_
700,Apollo Interactive,Medicare - MAIN,Medicare Main Duplicates,LiveDelay5Min,103150,(8) 2025398448 (N/A%),,_
792,Apollo Interactive,Medicare AGED - ATT,Default Campaign,1stDay200PM,134445,(11) 8137983881 (2.174%),(11) 9045909734 (N/A%),(11) 6623486829 (N/A%),(11) 7868072945 (N/A%)
728,Benefits Media LLC,Benefits - SSDI - Coreg,After Hours Open File,5thDay1015AM,112564,(8) 8176786713 (N/A%),,_
729,Benefits Media LLC,Benefits - SSDI - Coreg,Before Hours Open File,4thDay1015AM,112581,(8) 3526232433 (N/A%),,_
730,Benefits Media LLC,Benefits - SSDI - Coreg,Before Hours Open File,5thDay1015AM,112583,(8) 9039142674 (N/A%),,_
731,Benefits Media LLC,Benefits - SSDI - Coreg,Open File,5thDay1015AM,112549,(8) 8439542252 (N/A%),,_
732,Benefits Media LLC,Benefits - SSDI - Coreg,Still Looking,4thDay1015AM,109132,(8) 3473050321 (N/A%),,_
733,Benefits Media LLC,Benefits - SSDI - Coreg,Still Looking,5thDay1015AM,109134,(8) 4073494860 (N/A%),,_
734,Benefits Media LLC,Benefits - SSDI - Coreg,Weekend Open File,2ndDay100PM,112594,(8) 7866385639 (N/A%),,_
735,Benefits Media LLC,Benefits - SSDI - Coreg,Weekend Open File,2ndDay1015AM,112592,(8) 9192964772 (N/A%),,_
952,Benepath, Inc,Health Insurance - Trial,Weekend Off Hours,2ndDay1130AM,86333,(8) 2673657753 (0%),,_
757,Call Trader,Auto Accident (Drips),Urgency Later Day,12thDay200PM,126705,(8) 8084663691 (N/A%),,_
758,Call Trader,Auto Accident (Drips),Urgency Later Day,7thDay915AM,126703,(8) 2529233359 (N/A%),,_
